DATE,OPEN,HIGH,LOW,CLOSE
10/06/2023,16.100000,16.120000,14.250000,15.470000
10/09/2023,12.570000,15.150000,12.000000,15.120000
10/10/2023,11.200000,15.240000,10.740000,14.690000
10/11/2023,11.770000,17.210000,11.770000,15.570000
10/12/2023,11.510000,17.400000,11.250000,14.840000
10/13/2023,12.090000,22.080000,11.840000,20.960000
10/16/2023,12.330000,14.870000,11.540000,14.280000
10/17/2023,12.120000,15.670000,11.870000,14.330000
10/18/2023,12.200000,19.370000,12.200000,17.630000
10/19/2023,14.500000,20.490000,14.390000,20.430000
10/20/2023,14.870000,20.710000,14.760000,20.710000
10/23/2023,14.120000,17.490000,14.120000,16.340000
10/24/2023,12.540000,16.360000,12.540000,16.070000
10/25/2023,12.720000,18.190000,12.710000,17.620000
10/26/2023,15.870000,19.260000,15.100000,18.630000
10/27/2023,15.640000,21.750000,14.930000,20.760000
10/30/2023,13.720000,16.310000,13.570000,16.270000
10/31/2023,13.630000,18.280000,13.090000,18.160000
11/01/2023,16.840000,18.990000,14.800000,14.810000
11/02/2023,11.720000,15.470000,11.160000,15.290000
11/03/2023,12.330000,14.070000,11.270000,13.300000
11/06/2023,10.300000,11.180000,9.150000,10.730000
11/07/2023,9.290000,10.730000,8.270000,10.580000
11/08/2023,9.060000,11.280000,8.810000,11.150000
11/09/2023,9.440000,13.450000,9.030000,13.390000
11/10/2023,9.920000,12.810000,9.450000,12.170000
11/13/2023,9.810000,15.590000,9.580000,15.320000
11/14/2023,10.980000,13.870000,9.900000,13.720000
11/15/2023,10.570000,12.290000,9.530000,11.650000
11/16/2023,9.160000,11.730000,8.880000,11.490000
11/17/2023,9.460000,10.410000,8.500000,9.900000
11/20/2023,7.700000,9.570000,7.150000,8.960000
11/21/2023,7.850000,12.300000,7.490000,12.120000
11/22/2023,7.950000,11.870000,7.610000,10.550000
11/24/2023,8.720000,9.130000,8.270000,8.770000
11/27/2023,6.930000,8.380000,6.380000,8.210000
11/28/2023,7.000000,8.950000,6.240000,8.810000
11/29/2023,7.400000,10.390000,7.080000,10.390000
11/30/2023,8.880000,11.600000,8.410000,11.440000
12/01/2023,10.000000,10.930000,9.150000,10.620000
12/04/2023,8.410000,10.170000,7.800000,9.910000
12/05/2023,8.860000,9.460000,7.660000,9.380000
12/06/2023,7.830000,9.760000,7.470000,9.730000
12/07/2023,7.880000,14.440000,7.780000,14.190000
12/08/2023,9.590000,10.330000,8.170000,9.970000
12/11/2023,7.470000,13.430000,7.370000,13.220000
12/12/2023,8.930000,12.640000,8.630000,12.610000
12/13/2023,11.510000,15.280000,11.040000,15.280000
12/14/2023,10.050000,15.250000,9.560000,15.220000
12/15/2023,15.220000,15.220000,8.290000,9.840000
12/18/2023,7.100000,9.240000,7.030000,8.800000
12/19/2023,6.710000,8.730000,6.300000,8.690000
12/20/2023,7.180000,16.700000,6.550000,15.200000
12/21/2023,9.710000,13.680000,9.590000,12.370000
12/22/2023,9.490000,12.830000,8.820000,10.020000
12/26/2023,7.440000,8.610000,6.930000,8.210000
12/27/2023,6.980000,9.410000,6.580000,8.230000
12/28/2023,7.360000,10.820000,7.070000,10.370000
12/29/2023,8.610000,11.470000,7.870000,9.420000
01/02/2024,8.620000,10.310000,7.800000,9.450000
01/03/2024,8.950000,10.690000,8.550000,10.620000
01/04/2024,8.380000,13.100000,8.100000,13.100000
01/05/2024,9.740000,10.620000,9.160000,10.000000
01/08/2024,7.880000,10.190000,7.580000,9.450000
01/09/2024,8.170000,9.340000,7.850000,9.020000
01/10/2024,7.960000,14.110000,7.590000,13.820000
01/11/2024,9.970000,12.600000,9.220000,11.150000
01/12/2024,9.440000,12.000000,9.150000,11.670000
01/16/2024,9.000000,10.850000,8.400000,9.940000
01/17/2024,9.780000,11.740000,9.310000,11.380000
01/18/2024,9.240000,12.700000,8.620000,11.840000
01/19/2024,9.620000,12.230000,9.400000,10.150000
01/22/2024,8.110000,9.830000,7.720000,9.340000
01/23/2024,8.010000,9.050000,7.580000,8.630000
01/24/2024,7.510000,10.960000,7.070000,10.740000
01/25/2024,8.460000,11.110000,8.250000,11.060000
01/26/2024,9.390000,10.230000,8.290000,9.470000
01/29/2024,7.350000,10.530000,7.060000,9.330000
01/30/2024,8.370000,15.430000,8.210000,14.500000
01/31/2024,12.090000,25.600000,11.800000,13.470000
02/01/2024,10.210000,15.210000,9.840000,13.910000
02/02/2024,11.120000,12.770000,10.010000,12.350000
02/05/2024,8.980000,10.170000,8.460000,9.700000
02/06/2024,7.840000,10.260000,7.770000,9.860000
02/07/2024,8.000000,10.400000,7.900000,10.100000
02/08/2024,8.290000,10.000000,7.690000,10.000000
02/09/2024,8.790000,10.790000,7.890000,10.660000
02/12/2024,7.330000,14.060000,7.010000,14.060000
02/13/2024,10.800000,16.270000,9.670000,13.720000
02/14/2024,9.160000,12.860000,8.870000,12.100000
02/15/2024,8.830000,13.320000,8.400000,12.930000
02/16/2024,10.420000,14.110000,9.530000,13.220000
02/20/2024,8.640000,12.380000,8.310000,11.880000
02/21/2024,9.580000,18.280000,9.220000,17.830000
02/22/2024,10.300000,13.310000,9.470000,12.030000
02/23/2024,8.440000,10.810000,8.410000,10.270000
02/26/2024,7.660000,10.020000,7.420000,9.820000
02/27/2024,7.550000,9.860000,7.200000,9.680000
02/28/2024,7.600000,12.990000,7.490000,12.990000
02/29/2024,9.610000,11.570000,8.540000,10.950000
03/01/2024,8.950000,11.000000,8.330000,9.370000
03/04/2024,6.730000,8.960000,6.400000,8.490000
03/05/2024,7.470000,13.930000,7.410000,12.840000
03/06/2024,9.630000,13.980000,9.390000,11.430000
03/07/2024,8.980000,14.750000,8.880000,14.650000
03/08/2024,9.720000,13.820000,9.350000,12.510000
03/11/2024,10.130000,19.220000,10.030000,19.190000
03/12/2024,10.610000,13.090000,9.810000,10.450000
03/13/2024,7.990000,12.280000,7.600000,11.880000
03/14/2024,8.670000,17.930000,8.530000,14.280000
03/15/2024,11.570000,13.570000,10.530000,11.880000
03/18/2024,8.110000,12.850000,8.110000,12.410000
03/19/2024,9.650000,15.280000,9.260000,15.000000
03/20/2024,14.520000,18.710000,10.660000,10.900000
03/21/2024,7.560000,10.250000,7.450000,9.440000
03/22/2024,7.530000,9.790000,7.230000,9.370000
03/25/2024,6.730000,8.460000,6.190000,8.060000
03/26/2024,6.460000,9.920000,6.050000,9.190000
03/27/2024,6.400000,9.600000,6.280000,9.410000
03/28/2024,7.530000,10.870000,7.250000,10.330000
04/01/2024,6.630000,9.120000,5.880000,8.140000
04/02/2024,8.580000,10.590000,8.320000,10.190000
04/03/2024,8.220000,10.780000,7.760000,9.430000
04/04/2024,7.090000,22.650000,6.940000,21.410000
04/05/2024,13.950000,17.100000,12.410000,14.500000
04/08/2024,9.140000,10.970000,8.600000,9.650000
04/09/2024,8.050000,18.640000,7.810000,18.030000
04/10/2024,14.230000,17.750000,12.820000,17.100000
04/11/2024,12.300000,14.600000,11.950000,13.490000
04/12/2024,13.620000,22.220000,13.140000,20.370000
04/15/2024,11.810000,21.520000,11.240000,19.970000
04/16/2024,15.700000,18.800000,15.330000,17.380000
04/17/2024,13.590000,17.270000,13.010000,16.590000
04/18/2024,12.580000,17.100000,12.540000,16.160000
04/19/2024,15.310000,18.670000,14.970000,18.360000
04/22/2024,11.860000,14.450000,11.840000,13.560000
04/23/2024,10.570000,12.500000,10.270000,11.590000
04/24/2024,10.100000,13.880000,10.070000,13.320000
04/25/2024,12.180000,19.660000,12.170000,15.760000
04/26/2024,12.490000,13.110000,10.880000,11.240000
04/29/2024,8.370000,11.380000,8.340000,9.800000
04/30/2024,9.450000,19.690000,9.290000,18.100000
05/01/2024,17.080000,21.160000,13.890000,14.120000
05/02/2024,11.570000,19.140000,11.570000,18.330000
05/03/2024,12.220000,13.220000,10.110000,10.480000
05/06/2024,8.210000,9.460000,7.630000,9.130000
05/07/2024,7.700000,9.780000,7.400000,8.400000
05/08/2024,8.230000,9.360000,7.560000,8.820000
05/09/2024,7.350000,9.130000,7.240000,8.450000
05/10/2024,7.350000,8.630000,6.990000,8.260000
05/13/2024,6.940000,12.030000,6.730000,11.790000
05/14/2024,9.240000,16.880000,9.240000,16.850000
05/15/2024,9.410000,9.480000,7.950000,8.930000
05/16/2024,7.090000,10.210000,6.590000,9.470000
05/17/2024,7.250000,8.320000,6.520000,7.500000
05/20/2024,5.960000,8.630000,5.620000,7.430000
05/21/2024,6.380000,7.180000,5.660000,7.010000
05/22/2024,6.480000,16.440000,6.220000,16.230000
05/23/2024,8.470000,13.640000,8.470000,11.720000
05/24/2024,8.500000,9.410000,7.890000,8.590000
05/28/2024,6.630000,10.000000,6.360000,7.990000
05/29/2024,8.290000,11.020000,7.710000,10.890000
05/30/2024,8.050000,13.970000,7.740000,12.390000
05/31/2024,9.750000,10.950000,8.660000,10.200000
06/03/2024,7.880000,12.890000,7.530000,9.980000
06/04/2024,9.640000,11.720000,9.220000,10.680000
06/05/2024,8.910000,10.310000,8.750000,9.470000
06/06/2024,8.270000,13.460000,8.140000,13.340000
06/07/2024,10.470000,10.550000,8.660000,9.300000
06/10/2024,7.970000,8.400000,6.880000,8.260000
06/11/2024,8.020000,18.160000,8.020000,18.100000
06/12/2024,13.330000,15.610000,10.540000,11.110000
06/13/2024,8.260000,10.810000,7.930000,8.690000
06/14/2024,8.940000,10.520000,8.520000,10.440000
06/17/2024,7.550000,10.140000,7.120000,9.850000
06/18/2024,7.550000,10.610000,7.550000,9.510000
06/20/2024,7.880000,12.980000,7.880000,12.250000
06/21/2024,10.300000,10.300000,8.330000,8.940000
06/24/2024,7.720000,9.020000,7.170000,8.750000
06/25/2024,7.550000,8.410000,7.250000,8.160000
06/26/2024,7.830000,8.800000,7.090000,8.690000
06/27/2024,7.580000,10.860000,7.470000,10.820000
06/28/2024,9.310000,12.170000,8.500000,11.270000
07/01/2024,8.030000,10.660000,7.600000,8.100000
07/02/2024,7.950000,9.490000,7.710000,8.820000
07/03/2024,9.250000,11.670000,8.960000,11.110000
07/05/2024,7.680000,9.070000,6.840000,8.540000
07/08/2024,6.260000,8.120000,6.200000,7.230000
07/09/2024,7.120000,7.840000,6.420000,7.340000
07/10/2024,6.720000,13.740000,6.520000,13.030000
07/11/2024,8.990000,11.170000,8.400000,10.640000
07/12/2024,8.430000,11.000000,7.710000,9.670000
07/15/2024,8.720000,11.020000,8.210000,9.930000
07/16/2024,8.480000,10.080000,8.190000,9.610000
07/17/2024,9.840000,13.310000,9.450000,13.200000
07/18/2024,10.070000,16.190000,9.280000,15.500000
07/19/2024,12.540000,14.640000,11.750000,13.920000
07/22/2024,9.950000,11.410000,9.460000,11.020000
07/23/2024,9.200000,12.710000,8.740000,12.040000
07/24/2024,10.160000,18.630000,10.120000,18.590000
07/25/2024,13.740000,19.000000,13.680000,18.890000
07/26/2024,14.480000,16.900000,13.510000,15.400000
07/29/2024,12.500000,13.850000,11.260000,13.680000
07/30/2024,11.420000,21.330000,11.030000,20.610000
07/31/2024,15.690000,19.850000,15.410000,15.960000
08/01/2024,12.950000,24.930000,11.970000,24.430000
08/02/2024,20.370000,31.790000,20.370000,26.670000
08/05/2024,26.670000,48.840000,26.670000,39.360000
08/06/2024,26.060000,27.260000,20.410000,26.610000
08/07/2024,17.660000,29.660000,17.150000,28.710000
08/08/2024,21.010000,25.050000,20.400000,22.090000
08/09/2024,19.820000,20.560000,17.190000,18.280000
08/12/2024,13.140000,19.530000,12.470000,18.810000
08/13/2024,13.460000,19.770000,13.460000,19.300000
08/14/2024,13.710000,15.380000,12.270000,14.740000
08/15/2024,10.610000,14.090000,10.380000,14.040000
08/16/2024,11.810000,11.990000,9.820000,10.690000
08/19/2024,9.210000,9.640000,7.810000,9.380000
08/20/2024,8.580000,11.880000,8.380000,11.700000
08/21/2024,10.540000,12.350000,9.440000,11.630000
08/22/2024,9.540000,17.410000,9.540000,17.050000
08/23/2024,14.810000,15.320000,10.410000,10.800000
08/26/2024,8.930000,11.100000,8.630000,10.110000
08/27/2024,9.710000,9.980000,8.140000,8.860000
08/28/2024,8.800000,21.370000,8.640000,21.350000
08/29/2024,12.080000,13.980000,10.230000,12.940000
08/30/2024,10.810000,12.090000,10.050000,11.330000
09/03/2024,10.270000,17.610000,10.120000,15.310000
09/04/2024,14.380000,16.710000,12.700000,16.200000
09/05/2024,14.250000,22.070000,12.830000,21.690000
09/06/2024,15.270000,20.900000,15.270000,20.440000
09/09/2024,14.130000,14.560000,12.670000,13.840000
09/10/2024,12.060000,19.290000,11.740000,19.180000
09/11/2024,13.910000,16.320000,13.760000,14.980000
09/12/2024,13.570000,15.240000,12.620000,12.990000
09/13/2024,12.700000,13.400000,10.800000,12.850000
09/16/2024,10.600000,12.270000,10.010000,12.130000
09/17/2024,11.120000,22.230000,11.060000,21.320000
09/18/2024,21.510000,25.090000,17.730000,18.440000
09/19/2024,12.180000,16.340000,12.000000,14.860000
09/20/2024,12.340000,12.480000,9.940000,11.510000
09/23/2024,10.000000,10.130000,8.140000,8.950000
09/24/2024,8.380000,9.520000,7.550000,8.600000
09/25/2024,7.750000,9.940000,7.450000,9.100000
09/26/2024,8.410000,10.570000,7.810000,10.570000
09/27/2024,8.570000,13.880000,8.190000,13.220000
09/30/2024,10.580000,14.210000,9.530000,11.970000
10/01/2024,10.320000,16.920000,10.310000,14.630000
10/02/2024,12.060000,14.410000,11.200000,14.290000
10/03/2024,12.370000,19.750000,11.980000,19.170000
10/04/2024,12.910000,15.230000,12.310000,13.950000
10/07/2024,10.680000,16.970000,9.410000,14.040000
10/08/2024,10.630000,12.380000,9.460000,11.240000
10/09/2024,9.860000,15.090000,9.240000,15.090000
10/10/2024,11.170000,13.130000,9.680000,12.460000
10/11/2024,9.340000,11.920000,8.960000,11.190000
10/14/2024,8.180000,10.020000,7.390000,9.330000
10/15/2024,7.980000,12.020000,7.430000,10.680000
10/16/2024,8.890000,10.650000,8.370000,10.630000
10/17/2024,8.510000,11.760000,8.070000,11.120000
10/18/2024,8.720000,9.670000,7.750000,9.090000
10/21/2024,7.240000,9.480000,6.780000,8.650000
10/22/2024,8.700000,9.170000,7.600000,8.970000
10/23/2024,7.870000,14.730000,7.730000,12.040000
